Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"The Horezu River is a tributary of the Ponoru River in Romania .","The River is a tributary of the Ponoru River in Romania.","RD","Predicted Relationship: entailment with 99.05% confidence."
"The Horezu River is a tributary of the Ponoru River in Romania .","The Hornu River is a tributary of the Ponoru River in Romania.","hypernym","Predicted Relationship: neutral with 82.52% confidence."
"The Horezu River is a tributary of the Ponoru River in Romania .","The Horezu River is a tributary of the Donoru River in Romania.","polarity_negation","Predicted Relationship: neutral with 74.87% confidence."
"The Horezu River is a tributary of the Ponoru River in Romania .","b>River Ponoru/b> (Romanian: River Horezu; i>River Ponoru/i>) is a tributary of the River Horezu in Romania.","RS","Predicted Relationship: contradiction with 74.73% confidence."
"The Horezu River is a tributary of the Ponoru River in Romania .","The Horezu River is a tributary of the Ponoru River in Romania.","antonym","Predicted Relationship: entailment with 99.89% confidence."
"In 2002 , the song was published by the British producer Vincent Stormfield and covered by Independiente as '' Sweet Harmony 02 `` .","In 2002 British producer Vincent Stormfield published the song and was covered by Independente for Sweet Harmony 2.","RD","Predicted Relationship: entailment with 98.72% confidence."
"In 2002 , the song was published by the British producer Vincent Stormfield and covered by Independiente as '' Sweet Harmony 02 `` .","In 2002 British producer Vincent Stormfield published the song and was covered by the Independiente on Sweet Harmony 2.","hypernym","Predicted Relationship: entailment with 97.65% confidence."
"In 2002 , the song was published by the British producer Vincent Stormfield and covered by Independiente as '' Sweet Harmony 02 `` .","In 2002 British producer Vincent Stormfield did not publish the song and it was covered by Independente for Sweet Harmony 2.","polarity_negation","Predicted Relationship: contradiction with 97.17% confidence."
"In 2002 , the song was published by the British producer Vincent Stormfield and covered by Independiente as '' Sweet Harmony 02 `` .","In 2002 Independent producer Vincent Stormfield published the song and was covered by Britain on Sweet Harmony 2.","RS","Predicted Relationship: contradiction with 41.76% confidence."
"In 2002 , the song was published by the British producer Vincent Stormfield and covered by Independiente as '' Sweet Harmony 02 `` .","In 2002 British producer Vincent Stormfield published the song and was covered by Independente for Sweet Harmony 2.","antonym","Predicted Relationship: entailment with 98.72% confidence."
"David was born on 21 September 1933 in Coventry with his twin father Charles and Jessamine Robbins , the eighth and ninth child of twelve of Robbins .","David was born in September 1933 in Coventry to his twin fathers Charles and Jessamine Robinson and eight children of nine.","RD","Predicted Relationship: contradiction with 99.26% confidence."
"David was born on 21 September 1933 in Coventry with his twin father Charles and Jessamine Robbins , the eighth and ninth child of twelve of Robbins .","David the son of twin father Charles and Jessamine Robinson was born on September 21 1933 in Coventry the son of eight children of nine.","hypernym","Predicted Relationship: contradiction with 97.70% confidence."
"David was born on 21 September 1933 in Coventry with his twin father Charles and Jessamine Robbins , the eighth and ninth child of twelve of Robbins .","David was born September 21 1933 in Coventry to twin fathers Charles and Jessamine Robinson and was not one of the 12 children of Robinson.","polarity_negation","Predicted Relationship: contradiction with 98.70% confidence."
"David was born on 21 September 1933 in Coventry with his twin father Charles and Jessamine Robbins , the eighth and ninth child of twelve of Robbins .","David the son of twin father Charles and Jessamine Robinson was born on September 21 1933 in Coventry England to 12 children of his twin father Charles and his nine children.","RS","Predicted Relationship: entailment with 87.82% confidence."
"David was born on 21 September 1933 in Coventry with his twin father Charles and Jessamine Robbins , the eighth and ninth child of twelve of Robbins .","David the son of twin father Charles and sister Jessamine Robinson was born on September 21 1933 in Coventry the son of eight children the ninth of nine.","antonym","Predicted Relationship: contradiction with 87.53% confidence."
"The regiment left Boston in October 1777 to join General George Washington 's Main Army outside Philadelphia .","The regiment left Boston in October 1777 to join George Washington's main army outside Philadelphia.","RD","Predicted Relationship: entailment with 99.77% confidence."
"The regiment left Boston in October 1777 to join General George Washington 's Main Army outside Philadelphia .","In October 1777 the regiment left Boston to join General George Washington's main army outside Philadelphia.","hypernym","Predicted Relationship: entailment with 99.92% confidence."
"The regiment left Boston in October 1777 to join General George Washington 's Main Army outside Philadelphia .","The regiment left Boston in October 1777 to join George Washington's main army outside Philadelphia.","polarity_negation","Predicted Relationship: entailment with 99.77% confidence."
"The regiment left Boston in October 1777 to join General George Washington 's Main Army outside Philadelphia .","The regiment left Boston in 1777 Philadelphia to join General George Washington's main army outside of the city of 10.","RS","Predicted Relationship: neutral with 46.64% confidence."
"The regiment left Boston in October 1777 to join General George Washington 's Main Army outside Philadelphia .","The regiment left Boston in October 1777 to join George Washington's main army outside Philadelphia.","antonym","Predicted Relationship: entailment with 99.77% confidence."
"The compound was developed by Dr. Patrick Page and his team and was patented by Genkyotex in 2007 .","Patrick Page and his team developed the compound and it was patented by Genkyotex at the time.","RD","Predicted Relationship: entailment with 98.60% confidence."
"The compound was developed by Dr. Patrick Page and his team and was patented by Genkyotex in 2007 .","The compound was developed by Patrick Page and his team and was patented in 070000 by Genkyotex.","hypernym","Predicted Relationship: entailment with 91.60% confidence."
"The compound was developed by Dr. Patrick Page and his team and was patented by Genkyotex in 2007 .","Patrick Page and his team developed the compound and it was not patented by Genkyotex in 2007.","polarity_negation","Predicted Relationship: contradiction with 99.09% confidence."
"The compound was developed by Dr. Patrick Page and his team and was patented by Genkyotex in 2007 .","The compound was developed by Page 2007 and his team and was patented by Genkyotex in Patrick.","RS","Predicted Relationship: contradiction with 62.80% confidence."
"The compound was developed by Dr. Patrick Page and his team and was patented by Genkyotex in 2007 .","Patrick Page and his team developed the compound and it was patented by Genkyotex in 2007.","antonym","Predicted Relationship: entailment with 99.85% confidence."
"The `` case '' was used for the last time in 1949 in East Germany , 1966 in West Germany .","The case was last used in 1949 and 1966 in East Germany.","RD","Predicted Relationship: contradiction with 84.96% confidence."
"The `` case '' was used for the last time in 1949 in East Germany , 1966 in West Germany .","The case was last used in East Germany in 1949 and West Germany in 1966.","hypernym","Predicted Relationship: entailment with 99.28% confidence."
"The `` case '' was used for the last time in 1949 in East Germany , 1966 in West Germany .","The case was last used in 1949 (not East Germany) and 1966 (West Germany).","polarity_negation","Predicted Relationship: contradiction with 72.38% confidence."
"The `` case '' was used for the last time in 1949 in East Germany , 1966 in West Germany .","The case was last used in 1949 and 1966 in West Germany.","RS","Predicted Relationship: entailment with 97.42% confidence."
